"","x"
"1","DA"
"2","DA"
"3","DA"
"4","DA"
"5","DA"
"6","DA"
"7","DA"
"8","DA"
"9","DA"
"10","DA"
"11","DA"
"12","DA"
"13","DA"
"14","DA"
"15","DA"
"16","DA"
"17","DA"
"18","DA"
"19","DA"
"20","DA"
"21","NE"
"22","DA"
"23","DA"
"24","DA"
"25","DA"
"26","DA"
"27","DA"
"28","DA"
"29","DA"
"30","DA"
"31","NE"
"32","DA"
"33","DA"
"34","DA"
"35","DA"
"36","DA"
"37","DA"
"38","DA"
"39","DA"
"40","DA"
"41","DA"
"42","DA"
"43","DA"
"44","DA"
"45","DA"
"46","DA"
"47","DA"
"48","DA"
"49","DA"
"50","DA"
"51","DA"
"52","DA"
"53","DA"
"54","DA"
"55","DA"
"56","DA"
"57","DA"
"58","DA"
"59","DA"
"60","DA"
"61","DA"
"62","DA"
"63","DA"
"64","DA"
"65","DA"
"66","DA"
"67","DA"
"68","DA"
"69","DA"
"70","DA"
"71","DA"
"72","DA"
"73","DA"
"74","DA"
"75","DA"
"76","DA"
"77","DA"
"78","DA"
"79","DA"
"80","DA"
"81","DA"
"82","DA"
"83","DA"
"84","DA"
"85","DA"
"86","DA"
"87","DA"
"88","DA"
"89","DA"
"90","DA"
"91","DA"
"92","DA"
"93","DA"
"94","DA"
"95","DA"
"96","DA"
"97","DA"
"98","DA"
"99","DA"
"100","DA"
"101","DA"
"102","DA"
"103","DA"
"104","DA"
"105","DA"
"106","DA"
"107","DA"
"108","DA"
"109","DA"
"110","DA"
"111","DA"
"112","DA"
"113","DA"
"114","DA"
"115","DA"
"116","DA"
"117","DA"
"118","DA"
"119","DA"
"120","DA"
"121","DA"
"122","DA"
"123","DA"
"124","DA"
"125","DA"
"126","DA"
"127","DA"
"128","DA"
"129","DA"
"130","DA"
"131","DA"
"132","DA"
"133","DA"
"134","DA"
"135","DA"
"136","NE"
"137","DA"
"138","DA"
"139","DA"
"140","DA"
"141","DA"
"142","DA"
"143","DA"
"144","DA"
"145","DA"
"146","DA"
"147","DA"
"148","DA"
"149","DA"
"150","DA"
"151","DA"
"152","DA"
"153","DA"
"154","DA"
"155","DA"
"156","DA"
"157","DA"
"158","DA"
"159","DA"
"160","DA"
"161","DA"
"162","DA"
"163","DA"
"164","DA"
"165","DA"
"166","DA"
"167","DA"
"168","DA"
"169","DA"
"170","DA"
"171","DA"
"172","DA"
"173","DA"
"174","DA"
"175","DA"
"176","DA"
"177","DA"
"178","DA"
"179","DA"
"180","DA"
"181","DA"
"182","DA"
"183","DA"
"184","DA"
"185","DA"
"186","DA"
"187","DA"
"188","DA"
"189","DA"
"190","DA"
"191","DA"
"192","DA"
"193","DA"
"194","DA"
"195","DA"
"196","DA"
"197","NE"
"198","DA"
"199","DA"
"200","DA"
"201","DA"
"202","DA"
"203","DA"
"204","DA"
"205","DA"
"206","DA"
"207","DA"
"208","DA"
"209","NE"
"210","DA"
"211","DA"
"212","DA"
"213","DA"
"214","DA"
"215","DA"
"216","DA"
"217","DA"
"218","DA"
"219","DA"
"220","DA"
"221","DA"
"222","DA"
"223","DA"
"224","DA"
"225","DA"
"226","DA"
"227","DA"
"228","DA"
"229","DA"
"230","DA"
"231","DA"
"232","DA"
"233","DA"
"234","DA"
"235","DA"
"236","DA"
"237","DA"
"238","DA"
"239","DA"
"240","DA"
"241","DA"
"242","DA"
"243","DA"
"244","NE"
"245","DA"
"246","DA"
"247","DA"
"248","DA"
"249","DA"
"250","DA"
"251","DA"
"252","DA"
"253","DA"
"254","DA"
"255","DA"
"256","DA"
"257","DA"
"258","DA"
"259","DA"
"260","DA"
"261","DA"
"262","DA"
"263","DA"
"264","DA"
"265","DA"
"266","DA"
"267","DA"
"268","DA"
"269","DA"
"270","DA"
"271","DA"
"272","DA"
"273","DA"
"274","DA"
"275","DA"
"276","DA"
"277","DA"
"278","DA"
"279","DA"
"280","DA"
"281","DA"
"282","DA"
"283","DA"
"284","DA"
"285","DA"
"286","DA"
"287","DA"
"288","DA"
"289","DA"
"290","DA"
"291","DA"
"292","DA"
"293","DA"
"294","DA"
"295","DA"
"296","DA"
"297","DA"
"298","DA"
"299","DA"
"300","DA"
"301","DA"
"302","DA"
"303","DA"
"304","DA"
"305","DA"
"306","DA"
"307","DA"
"308","DA"
"309","NE"
"310","DA"
"311","DA"
"312","DA"
"313","DA"
"314","DA"
"315","NE"
"316","DA"
"317","DA"
"318","DA"
"319","DA"
"320","DA"
"321","DA"
"322","DA"
"323","DA"
"324","DA"
"325","DA"
"326","DA"
"327","DA"
"328","DA"
"329","DA"
"330","DA"
"331","DA"
"332","DA"
"333","DA"
"334","DA"
"335","DA"
"336","DA"
"337","DA"
"338","DA"
"339","DA"
"340","DA"
"341","DA"
"342","DA"
"343","DA"
"344","DA"
"345","DA"
"346","DA"
"347","DA"
"348","DA"
"349","DA"
"350","DA"
"351","DA"
"352","DA"
"353","DA"
"354","DA"
"355","DA"
"356","DA"
"357","DA"
"358","DA"
"359","DA"
"360","DA"
"361","DA"
"362","DA"
"363","DA"
"364","DA"
"365","DA"
"366","DA"
"367","DA"
"368","DA"
"369","DA"
"370","DA"
"371","DA"
"372","DA"
"373","DA"
"374","DA"
"375","DA"
"376","DA"
"377","DA"
"378","DA"
"379","DA"
"380","DA"
"381","DA"
"382","DA"
"383","DA"
"384","DA"
"385","DA"
"386","DA"
"387","DA"
"388","DA"
"389","DA"
"390","DA"
"391","DA"
"392","DA"
"393","DA"
"394","DA"
"395","DA"
"396","DA"
"397","DA"
"398","DA"
"399","DA"
"400","DA"
"401","DA"
"402","DA"
"403","DA"
"404","DA"
"405","DA"
"406","DA"
"407","NE"
"408","DA"
"409","DA"
"410","DA"
"411","DA"
"412","DA"
"413","DA"
"414","DA"
"415","DA"
"416","DA"
"417","DA"
"418","DA"
"419","DA"
"420","DA"
"421","DA"
"422","DA"
"423","DA"
"424","DA"
"425","DA"
"426","DA"
"427","DA"
"428","DA"
"429","DA"
"430","DA"
"431","DA"
"432","DA"
"433","DA"
"434","DA"
"435","DA"
"436","DA"
"437","DA"
"438","DA"
"439","DA"
